Book,Type,Price,Stocks,Review,total_value
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,£37.59,19,1,714.21
Join,Science Fiction,£35.67,16,5,570.72
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Science Fiction,£43.30,15,4,649.5
The Project,Science Fiction,£10.65,15,1,159.75
Soft Apocalypse,Science Fiction,£26.12,15,2,391.8
Sleeping Giants (Themis Files #1),Science Fiction,£48.74,11,1,536.14
Arena,Science Fiction,£21.36,11,4,234.95999999999998
Foundation (Foundation (Publication Order) #1),Science Fiction,£32.42,5,1,162.10000000000002
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),Science Fiction,£10.92,3,1,32.76
Ready Player One,Science Fiction,£19.07,3,4,57.21
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",Science Fiction,£33.26,3,2,99.78
Dune (Dune #1),Science Fiction,£54.86,3,1,164.57999999999998
Do Androids Dream of Electric Sheep? (Blade Runner #1),Science Fiction,£51.48,3,1,154.44
Three Wishes (River of Time: California #1),Science Fiction,£44.18,1,2,44.18
The Last Girl (The Dominion Trilogy #1),Science Fiction,£36.26,1,2,36.26
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),Science Fiction,£34.96,1,4,34.96
